Sentence,Word,Filtered_Word,Stemmed_Word,Lemmatized_Word,Tagged_Word,Named_Entity
L_2019152EN.01004501.xml,L_2019152EN.01004501.xml,l_2019152en.01004501.xml,L_2019152EN.01004501.xml,"('L_2019152EN.01004501.xml', 'NNP')","('L_2019152EN.01004501.xml', 'NNP')"
11.6.2019,11.6.2019,11.6.2019,11.6.2019,"('11.6.2019', 'CD')","('11.6.2019', 'CD')"
EN,EN,en,EN,"('EN', 'NNP')","('EN', 'NNP')"
Official,Official,offici,Official,"('Official', 'NNP')","('Official', 'NNP')"
Journal,Journal,journal,Journal,"('Journal', 'NNP')","('Journal', 'NNP')"
of,European,of,of,"('of', 'IN')","('of', 'IN')"
the,Union,the,the,"('the', 'DT')","('the', 'DT')"
European,L,european,European,"('European', 'NNP')",(ORGANIZATION European/NNP Union/NNP)
Union,152/45,union,Union,"('Union', 'NNP')","('L', 'NNP')"
L,COMMISSION,l,L,"('L', 'NNP')","('152/45', 'CD')"
152/45,IMPLEMENTING,152/45,152/45,"('152/45', 'CD')",(ORGANIZATION COMMISSION/NNP)
COMMISSION,REGULATION,commiss,COMMISSION,"('COMMISSION', 'NNP')","('IMPLEMENTING', 'NNP')"
IMPLEMENTING,(,implement,IMPLEMENTING,"('IMPLEMENTING', 'NNP')","('REGULATION', 'NNP')"
REGULATION,EU,regul,REGULATION,"('REGULATION', 'NNP')","('(', '(')"
(,),(,(,"('(', '(')",(GPE EU/NNP)
EU,2019/947,eu,EU,"('EU', 'NNP')","(')', ')')"
),24,),),"(')', ')')","('2019/947', 'CD')"
2019/947,May,2019/947,2019/947,"('2019/947', 'CD')","('of', 'IN')"
of,2019,of,of,"('of', 'IN')","('24', 'CD')"
24,rules,24,24,"('24', 'CD')","('May', 'NNP')"
May,procedures,may,May,"('May', 'NNP')","('2019', 'CD')"
2019,operation,2019,2019,"('2019', 'CD')","('on', 'IN')"
on,unmanned,on,on,"('on', 'IN')","('the', 'DT')"
the,aircraft,the,the,"('the', 'DT')","('rules', 'NNS')"
rules,(,rule,rule,"('rules', 'NNS')","('and', 'CC')"
and,Text,and,and,"('and', 'CC')","('procedures', 'NNS')"
procedures,EEA,procedur,procedure,"('procedures', 'NNS')","('for', 'IN')"
for,relevance,for,for,"('for', 'IN')","('the', 'DT')"
the,),the,the,"('the', 'DT')","('operation', 'NN')"
operation,EUROPEAN,oper,operation,"('operation', 'NN')","('of', 'IN')"
of,COMMISSION,of,of,"('of', 'IN')","('unmanned', 'JJ')"
unmanned,",",unman,unmanned,"('unmanned', 'JJ')","('aircraft', 'NN')"
aircraft,regard,aircraft,aircraft,"('aircraft', 'NN')","('(', '(')"
(,Treaty,(,(,"('(', '(')",(ORGANIZATION Text/NNP)
Text,Functioning,text,Text,"('Text', 'NNP')","('with', 'IN')"
with,European,with,with,"('with', 'IN')",(ORGANIZATION EEA/NNP)
EEA,Union,eea,EEA,"('EEA', 'NNP')","('relevance', 'NN')"
relevance,",",relev,relevance,"('relevance', 'NN')","(')', ')')"
),regard,),),"(')', ')')",(ORGANIZATION THE/NNP)
THE,Regulation,the,THE,"('THE', 'NNP')",(ORGANIZATION EUROPEAN/NNP)
EUROPEAN,(,european,EUROPEAN,"('EUROPEAN', 'NNP')","('COMMISSION', 'NNP')"
COMMISSION,EU,commiss,COMMISSION,"('COMMISSION', 'NNP')","(',', ',')"
",",),",",",","(',', ',')","('Having', 'VBG')"
Having,2018/1139,have,Having,"('Having', 'VBG')","('regard', 'NN')"
regard,European,regard,regard,"('regard', 'NN')","('to', 'TO')"
to,Parliament,to,to,"('to', 'TO')","('the', 'DT')"
the,Council,the,the,"('the', 'DT')",(ORGANIZATION Treaty/NNP)
Treaty,4,treati,Treaty,"('Treaty', 'NNP')","('on', 'IN')"
on,July,on,on,"('on', 'IN')","('the', 'DT')"
the,2018,the,the,"('the', 'DT')","('Functioning', 'NNP')"
Functioning,common,function,Functioning,"('Functioning', 'NNP')","('of', 'IN')"
of,rules,of,of,"('of', 'IN')","('the', 'DT')"
the,field,the,the,"('the', 'DT')",(ORGANIZATION European/NNP Union/NNP)
European,civil,european,European,"('European', 'NNP')","(',', ',')"
Union,aviation,union,Union,"('Union', 'NNP')","('Having', 'VBG')"
",",establishing,",",",","(',', ',')","('regard', 'NN')"
Having,European,have,Having,"('Having', 'VBG')","('to', 'TO')"
regard,Union,regard,regard,"('regard', 'NN')",(GPE Regulation/NNP)
to,Aviation,to,to,"('to', 'TO')","('(', '(')"
Regulation,Safety,regul,Regulation,"('Regulation', 'NNP')",(GPE EU/NNP)
(,Agency,(,(,"('(', '(')","(')', ')')"
EU,",",eu,EU,"('EU', 'NNP')","('2018/1139', 'CD')"
),amending,),),"(')', ')')","('of', 'IN')"
2018/1139,Regulations,2018/1139,2018/1139,"('2018/1139', 'CD')","('the', 'DT')"
of,(,of,of,"('of', 'IN')",(ORGANIZATION European/NNP Parliament/NNP)
the,EC,the,the,"('the', 'DT')","('and', 'CC')"
European,),european,European,"('European', 'NNP')","('of', 'IN')"
Parliament,2111/2005,parliament,Parliament,"('Parliament', 'NNP')","('the', 'DT')"
and,",",and,and,"('and', 'CC')",(ORGANIZATION Council/NNP)
of,(,of,of,"('of', 'IN')","('of', 'IN')"
the,EC,the,the,"('the', 'DT')","('4', 'CD')"
Council,),council,Council,"('Council', 'NNP')","('July', 'NNP')"
of,1008/2008,of,of,"('of', 'IN')","('2018', 'CD')"
4,",",4,4,"('4', 'CD')","('on', 'IN')"
July,(,juli,July,"('July', 'NNP')","('common', 'JJ')"
2018,EU,2018,2018,"('2018', 'CD')","('rules', 'NNS')"
on,),on,on,"('on', 'IN')","('in', 'IN')"
common,996/2010,common,common,"('common', 'JJ')","('the', 'DT')"
rules,",",rule,rule,"('rules', 'NNS')","('field', 'NN')"
in,(,in,in,"('in', 'IN')","('of', 'IN')"
the,EU,the,the,"('the', 'DT')","('civil', 'JJ')"
field,),field,field,"('field', 'NN')","('aviation', 'NN')"
of,376/2014,of,of,"('of', 'IN')","('and', 'CC')"
civil,Directives,civil,civil,"('civil', 'JJ')","('establishing', 'VBG')"
aviation,2014/30/EU,aviat,aviation,"('aviation', 'NN')","('a', 'DT')"
and,2014/53/EU,and,and,"('and', 'CC')",(GPE European/NNP)
establishing,European,establish,establishing,"('establishing', 'VBG')","('Union', 'NNP')"
a,Parliament,a,a,"('a', 'DT')","('Aviation', 'NNP')"
European,Council,european,European,"('European', 'NNP')","('Safety', 'NNP')"
Union,",",union,Union,"('Union', 'NNP')","('Agency', 'NNP')"
Aviation,repealing,aviat,Aviation,"('Aviation', 'NNP')","(',', ',')"
Safety,Regulations,safeti,Safety,"('Safety', 'NNP')","('and', 'CC')"
Agency,(,agenc,Agency,"('Agency', 'NNP')","('amending', 'VBG')"
",",EC,",",",","(',', ',')","('Regulations', 'NNS')"
and,),and,and,"('and', 'CC')","('(', '(')"
amending,216/2008,amend,amending,"('amending', 'VBG')","('EC', 'NNP')"
Regulations,(,regul,Regulations,"('Regulations', 'NNS')","(')', ')')"
(,EC,(,(,"('(', '(')","('No', 'DT')"
EC,),ec,EC,"('EC', 'NNP')","('2111/2005', 'CD')"
),552/2004,),),"(')', ')')","(',', ',')"
No,European,no,No,"('No', 'DT')","('(', '(')"
2111/2005,Parliament,2111/2005,2111/2005,"('2111/2005', 'CD')","('EC', 'NNP')"
",",Council,",",",","(',', ',')","(')', ')')"
(,Council,(,(,"('(', '(')","('No', 'DT')"
EC,Regulation,ec,EC,"('EC', 'NNP')","('1008/2008', 'CD')"
),(,),),"(')', ')')","(',', ',')"
No,EEC,no,No,"('No', 'DT')","('(', '(')"
1008/2008,),1008/2008,1008/2008,"('1008/2008', 'CD')",(GPE EU/NNP)
",",3922/91,",",",","(',', ',')","(')', ')')"
(,(,(,(,"('(', '(')","('No', 'DT')"
EU,1,eu,EU,"('EU', 'NNP')","('996/2010', 'CD')"
),),),),"(')', ')')","(',', ',')"
No,",",no,No,"('No', 'DT')","('(', '(')"
996/2010,particular,996/2010,996/2010,"('996/2010', 'CD')",(GPE EU/NNP)
",",Article,",",",","(',', ',')","(')', ')')"
(,57,(,(,"('(', '(')","('No', 'DT')"
EU,thereof,eu,EU,"('EU', 'NNP')","('376/2014', 'CD')"
),",",),),"(')', ')')","('and', 'CC')"
No,Whereas,no,No,"('No', 'DT')","('Directives', 'VBZ')"
376/2014,:,376/2014,376/2014,"('376/2014', 'CD')","('2014/30/EU', 'CD')"
and,(,and,and,"('and', 'CC')","('and', 'CC')"
Directives,1,direct,Directives,"('Directives', 'VBZ')","('2014/53/EU', 'CD')"
2014/30/EU,),2014/30/eu,2014/30/EU,"('2014/30/EU', 'CD')","('of', 'IN')"
and,Unmanned,and,and,"('and', 'CC')","('the', 'DT')"
